Mes,Estacion,afluencia_predicha,delitos_con_violencia,delitos_sin_violencia
2025-11-01,Coyuya,777810.1940056233,21,18
2025-12-01,Coyuya,774272.9182788868,13,15
2026-01-01,Coyuya,773111.1981200423,9,25
2026-02-01,Coyuya,765539.337149323,9,22
2026-03-01,Coyuya,811842.6642451633,20,28
2025-04-01,Cuatro Caminos,3206553.290078481,71,119
2025-05-01,Cuatro Caminos,3848404.757685106,46,82
2025-06-01,Cuatro Caminos,3686794.3535872935,43,87
2025-07-01,Cuatro Caminos,3729088.9449224826,89,137
2025-08-01,Cuatro Caminos,3945904.818024387,45,119
2025-09-01,Cuatro Caminos,3835174.893414601,101,160
2025-10-01,Cuatro Caminos,4061075.433655284,97,160
2025-11-01,Cuatro Caminos,3932369.3797146287,45,178
2025-12-01,Cuatro Caminos,3813416.6056000735,44,155
2026-01-01,Cuatro Caminos,3623912.713953395,107,119
2026-02-01,Cuatro Caminos,3597592.8829978528,62,144
2026-03-01,Cuatro Caminos,3778345.97022949,65,106
2025-04-01,Cuauhtémoc,-18325.71003953413,0,0
2025-05-01,Cuauhtémoc,-5659.980153149954,0,0
2025-06-01,Cuauhtémoc,-2949.716538061809,0,0
2025-07-01,Cuauhtémoc,-32019.79123663914,0,-1
2025-08-01,Cuauhtémoc,-35856.022899322044,0,-1
2025-09-01,Cuauhtémoc,-33225.75290511968,0,-1
2025-10-01,Cuauhtémoc,-28201.17869009731,0,-1
2025-11-01,Cuauhtémoc,-59734.19100544375,-1,-1
2025-12-01,Cuauhtémoc,-74468.65882460318,-1,-2
2026-01-01,Cuauhtémoc,-39158.18432372182,-1,-1
2026-02-01,Cuauhtémoc,-17120.134767057825,0,0
2026-03-01,Cuauhtémoc,3520.9134047179105,0,0
2025-04-01,Cuitláhuac,402344.1694742186,4,16
2025-05-01,Cuitláhuac,481262.9570079016,9,19
2025-06-01,Cuitláhuac,512766.6329915263,5,16
2025-07-01,Cuitláhuac,522619.1199483767,6,13
2025-08-01,Cuitláhuac,553117.6505860684,6,18
2025-09-01,Cuitláhuac,570276.2644915907,13,13
2025-10-01,Cuitláhuac,603407.3057388389,15,28
2025-11-01,Cuitláhuac,600187.3707263282,13,18
2025-12-01,Cuitláhuac,576831.7466511421,16,14
2026-01-01,Cuitláhuac,595644.4963874088,10,12
2026-02-01,Cuitláhuac,517595.7863394119,8,20
2026-03-01,Cuitláhuac,502540.81965729984,13,19
2025-04-01,Culhuacán,464796.2763183134,6,14
2025-05-01,Culhuacán,467057.6000548577,13,10
2025-06-01,Culhuacán,463512.927270501,4,14
2025-07-01,Culhuacán,527247.7066849512,15,15
2025-08-01,Culhuacán,611667.8907474959,6,24
2025-09-01,Culhuacán,621101.926887261,17,23
2025-10-01,Culhuacán,647055.2469883059,13,20
2025-11-01,Culhuacán,635414.968968297,18,16
2025-12-01,Culhuacán,622498.7859727397,7,30
2026-01-01,Culhuacán,627551.5567328827,13,21
2026-02-01,Culhuacán,688518.3959465957,20,27
2026-03-01,Culhuacán,708699.0269095633,14,17
2025-04-01,Deportivo 18 de Marzo,850581.302105603,19,29
2025-05-01,Deportivo 18 de Marzo,863326.9703700196,20,17
2025-06-01,Deportivo 18 de Marzo,845154.4382786686,16,29
2025-07-01,Deportivo 18 de Marzo,845248.9993678797,19,41
2025-08-01,Deportivo 18 de Marzo,883881.9409151947,19,27
2025-09-01,Deportivo 18 de Marzo,894625.264726552,25,18
2025-10-01,Deportivo 18 de Marzo,913342.9034943348,9,19
2025-11-01,Deportivo 18 de Marzo,891409.6116172095,13,28
2025-12-01,Deportivo 18 de Marzo,861388.9838981084,24,21
2026-01-01,Deportivo 18 de Marzo,908675.5427235704,25,18
2026-02-01,Deportivo 18 de Marzo,920078.4918276924,17,39
2026-03-01,Deportivo 18 de Marzo,968015.2462944796,21,32
2025-04-01,Deportivo Oceanía,389289.9721429625,6,11
2025-05-01,Deportivo Oceanía,407195.3306105914,5,19
2025-06-01,Deportivo Oceanía,383500.5050519271,7,9
2025-07-01,Deportivo Oceanía,331963.9162253198,5,16
2025-08-01,Deportivo Oceanía,342957.45972611045,7,10
2025-09-01,Deportivo Oceanía,419030.867241521,4,19
2025-10-01,Deportivo Oceanía,441386.4270638498,13,16
2025-11-01,Deportivo Oceanía,398307.4303377728,11,17
2025-12-01,Deportivo Oceanía,344132.6813139304,8,17
2026-01-01,Deportivo Oceanía,315492.1622351894,6,9
2026-02-01,Deportivo Oceanía,333486.00686948106,5,16
2026-03-01,Deportivo Oceanía,377517.8099363996,9,11
2025-04-01,División del Norte,385346.0692868379,9,12
2025-05-01,División del Norte,403423.3804752058,5,12
2025-06-01,División del Norte,390617.9858221287,11,14
2025-07-01,División del Norte,369395.5650117924,9,9
2025-08-01,División del Norte,396790.31957969366,11,14
2025-09-01,División del Norte,399660.79434710735,9,14
2025-10-01,División del Norte,415196.8431456511,9,17
